start_year,end_year,category,count
2001,2002,order,85
2002,2003,order,95
2003,2004,order,129
2004,2005,order,139
2005,2006,order,159
2006,2007,order,166
2007,2008,order,189
2008,2009,order,198
2009,2010,order,202
2010,2011,order,234
2011,2012,order,253
2012,2013,order,262
2013,2014,order,304
2014,2015,order,317
2015,2016,order,319
2016,2017,order,319
2017,2018,order,317
2018,2019,order,321
2019,2020,order,251
2020,2021,order,251
2021,2022,order,251
2001,2002,deliveries,0
2002,2003,deliveries,0
2003,2004,deliveries,0
2004,2005,deliveries,0
2005,2006,deliveries,0
2006,2007,deliveries,0
2007,2008,deliveries,1
2008,2009,deliveries,13
2009,2010,deliveries,23
2010,2011,deliveries,41
2011,2012,deliveries,67
2012,2013,deliveries,97
2013,2014,deliveries,122
2014,2015,deliveries,152
2015,2016,deliveries,179
2016,2017,deliveries,207
2017,2018,deliveries,222
2018,2019,deliveries,234
2019,2020,deliveries,242
2020,2021,deliveries,246
2021,2022,deliveries,248
